,Window Size,p,K,SR
85,36,5,16,-0.09525877491177284
86,36,5,17,-0.09525877491177284
87,36,5,18,-0.09525877491177284
88,36,5,19,-0.09525877491177284
89,36,5,20,-0.09525877491177284
90,36,6,15,-0.08608566962441609
91,36,6,16,-0.08608566962441609
92,36,6,17,-0.08608566962441609
93,36,6,18,-0.08608566962441609
94,36,6,19,-0.08608566962441609
95,36,6,20,-0.08608566962441609
96,36,7,15,-0.0898120454036686
97,36,7,16,-0.0898120454036686
98,36,7,17,-0.0898120454036686
99,36,7,18,-0.0898120454036686
100,36,7,19,-0.0898120454036686
101,36,7,20,-0.0898120454036686
102,36,8,15,-0.06560068310860782
103,36,8,16,-0.06560068310860782
104,36,8,17,-0.06560068310860782
105,36,8,18,-0.06560068310860782
106,36,8,19,-0.06560068310860782
107,36,8,20,-0.06560068310860782
108,36,9,15,-0.039350466756743696
109,36,9,16,-0.039350466756743696
110,36,9,17,-0.039350466756743696
111,36,9,18,-0.039350466756743696
112,36,9,19,-0.039350466756743696
113,36,9,20,-0.039350466756743696
114,36,10,15,-0.05225479383565511
115,36,10,16,-0.05225479383565511
116,36,10,17,-0.05225479383565511
117,36,10,18,-0.05225479383565511
118,36,10,19,-0.05225479383565511
119,36,10,20,-0.05225479383565511
120,48,1,15,-0.35321251528164715
121,48,1,16,-0.35321251528164727
122,48,1,17,-0.35321251528164727
123,48,1,18,-0.35321251528164727
124,48,1,19,-0.35321251528164727
125,48,1,20,-0.35321251528164727
126,48,2,15,-0.3718589384877142
127,48,2,16,-0.3718589384877142
128,48,2,17,-0.3718589384877142
129,48,2,18,-0.3718589384877142
130,48,2,19,-0.3718589384877142
131,48,2,20,-0.3718589384877142
132,48,3,15,-0.384880900205023
133,48,3,16,-0.384880900205023
134,48,3,17,-0.384880900205023
135,48,3,18,-0.384880900205023
136,48,3,19,-0.3848809002050231
137,48,3,20,-0.384880900205023
138,48,4,15,-0.4571129015675432
139,48,4,16,-0.4571129015675432
140,48,4,17,-0.4571129015675432
141,48,4,18,-0.4571129015675432
142,48,4,19,-0.4571129015675432
143,48,4,20,-0.4571129015675432
144,48,5,15,-0.4640515320317189
145,48,5,16,-0.4640515320317189
146,48,5,17,-0.4640515320317189
147,48,5,18,-0.4640515320317189
148,48,5,19,-0.4640515320317189
149,48,5,20,-0.4640515320317189
150,48,6,15,-0.41405426545529467
151,48,6,16,-0.41405426545529467
152,48,6,17,-0.41405426545529467
153,48,6,18,-0.41405426545529467
154,48,6,19,-0.41405426545529467
155,48,6,20,-0.41405426545529467
156,48,7,15,-0.42129760771820257
157,48,7,16,-0.42129760771820257
158,48,7,17,-0.42129760771820257
159,48,7,18,-0.42129760771820257
160,48,7,19,-0.42129760771820257
161,48,7,20,-0.42129760771820257
162,48,8,15,-0.4460652565740146
163,48,8,16,-0.4460652565740146
164,48,8,17,-0.4460652565740146
165,48,8,18,-0.4460652565740146
166,48,8,19,-0.4460652565740146
167,48,8,20,-0.4460652565740146
168,48,9,15,-0.41265629450302216
169,48,9,16,-0.41265629450302216
170,48,9,17,-0.41265629450302216
171,48,9,18,-0.41265629450302216
172,48,9,19,-0.41265629450302216
173,48,9,20,-0.41265629450302216
174,48,10,15,-0.3992279724644096
175,48,10,16,-0.3992279724644096
176,48,10,17,-0.3992279724644096
177,48,10,18,-0.3992279724644096
178,48,10,19,-0.3992279724644096
179,48,10,20,-0.3992279724644096
